2025-07-06 05:17:42,400 |     INFO | Starting experiment: prop=0.2, run_id=1
2025-07-06 05:17:42,400 |     INFO | Loading data...
2025-07-06 05:17:42,432 |     INFO | Train set: 20808 samples
2025-07-06 05:17:42,432 |     INFO | Test set: 52 samples
2025-07-06 05:17:42,433 |     INFO | Creating tokenizer and datasets...
2025-07-06 05:17:43,326 |     INFO | Creating model...
2025-07-06 05:17:43,350 |     INFO | Creating trainer...
2025-07-06 05:17:43,355 |  WARNING | Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
2025-07-06 05:17:43,356 |     INFO | Starting training...
2025-07-06 05:18:02,414 |     INFO | Running inference...
2025-07-06 05:18:02,837 |     INFO | Computing metrics...
2025-07-06 05:18:02,848 |     INFO | Experiment completed. Results saved to /n/home06/drooryck/circuits_languages_2/jul_1/results/sweep/p20_run1
2025-07-06 05:18:02,852 |     INFO | Starting experiment: prop=0.2, run_id=2
2025-07-06 05:18:02,852 |     INFO | Loading data...
2025-07-06 05:18:02,884 |     INFO | Train set: 20808 samples
2025-07-06 05:18:02,884 |     INFO | Test set: 52 samples
2025-07-06 05:18:02,884 |     INFO | Creating tokenizer and datasets...
2025-07-06 05:18:03,793 |     INFO | Creating model...
2025-07-06 05:18:03,804 |     INFO | Creating trainer...
2025-07-06 05:18:03,808 |  WARNING | Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
2025-07-06 05:18:03,809 |     INFO | Starting training...
2025-07-06 05:18:21,386 |     INFO | Running inference...
2025-07-06 05:18:21,781 |     INFO | Computing metrics...
2025-07-06 05:18:21,790 |     INFO | Experiment completed. Results saved to /n/home06/drooryck/circuits_languages_2/jul_1/results/sweep/p20_run2
2025-07-06 05:18:21,793 |     INFO | Starting experiment: prop=0.8, run_id=1
2025-07-06 05:18:21,793 |     INFO | Loading data...
2025-07-06 05:18:21,825 |     INFO | Train set: 20808 samples
2025-07-06 05:18:21,825 |     INFO | Test set: 52 samples
2025-07-06 05:18:21,825 |     INFO | Creating tokenizer and datasets...
2025-07-06 05:18:22,543 |     INFO | Creating model...
2025-07-06 05:18:22,553 |     INFO | Creating trainer...
2025-07-06 05:18:22,555 |  WARNING | Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
2025-07-06 05:18:22,557 |     INFO | Starting training...
2025-07-06 05:18:39,815 |     INFO | Running inference...
2025-07-06 05:18:40,219 |     INFO | Computing metrics...
2025-07-06 05:18:40,227 |     INFO | Experiment completed. Results saved to /n/home06/drooryck/circuits_languages_2/jul_1/results/sweep/p80_run1
2025-07-06 05:18:40,231 |     INFO | Starting experiment: prop=0.8, run_id=2
2025-07-06 05:18:40,232 |     INFO | Loading data...
2025-07-06 05:18:40,259 |     INFO | Train set: 20808 samples
2025-07-06 05:18:40,259 |     INFO | Test set: 52 samples
2025-07-06 05:18:40,260 |     INFO | Creating tokenizer and datasets...
2025-07-06 05:18:40,975 |     INFO | Creating model...
2025-07-06 05:18:40,985 |     INFO | Creating trainer...
2025-07-06 05:18:40,988 |  WARNING | Detected kernel version 4.18.0, which is below the recommended minimum of 5.5.0; this can cause the process to hang. It is recommended to upgrade the kernel to the minimum version or higher.
2025-07-06 05:18:40,989 |     INFO | Starting training...
2025-07-06 05:18:59,220 |     INFO | Running inference...
2025-07-06 05:18:59,634 |     INFO | Computing metrics...
2025-07-06 05:18:59,643 |     INFO | Experiment completed. Results saved to /n/home06/drooryck/circuits_languages_2/jul_1/results/sweep/p80_run2
2025-07-06 05:18:59,649 |     INFO | Summary saved to /n/home06/drooryck/circuits_languages_2/jul_1/results/sweep/summary.csv
2025-07-06 05:18:59,987 |     INFO | Saved plot to /n/home06/drooryck/circuits_languages_2/jul_1/results/sweep/plots/exact_match.png
